video_name,targets
Shoplifting001_x264_0.mp4,0
Shoplifting001_x264_1.mp4,0
Shoplifting001_x264_2.mp4,0
Shoplifting001_x264_3.mp4,0
Shoplifting001_x264_4.mp4,0
Shoplifting001_x264_5.mp4,0
Shoplifting001_x264_6.mp4,0
Shoplifting001_x264_7.mp4,0
Shoplifting001_x264_8.mp4,0
Shoplifting001_x264_9.mp4,1
Shoplifting001_x264_10.mp4,1
Shoplifting001_x264_11.mp4,1
Shoplifting001_x264_12.mp4,1
Shoplifting001_x264_13.mp4,1
Shoplifting001_x264_14.mp4,1
Shoplifting001_x264_15.mp4,1
Shoplifting001_x264_16.mp4,0
Shoplifting001_x264_17.mp4,0
Shoplifting001_x264_18.mp4,0
Shoplifting001_x264_19.mp4,0
Shoplifting001_x264_20.mp4,0
Shoplifting001_x264_21.mp4,0
Shoplifting001_x264_22.mp4,0
Shoplifting001_x264_23.mp4,0
Shoplifting001_x264_24.mp4,0
Shoplifting001_x264_25.mp4,0
Shoplifting001_x264_26.mp4,0
Shoplifting001_x264_27.mp4,0
Shoplifting001_x264_28.mp4,0
Shoplifting001_x264_29.mp4,0
Shoplifting001_x264_30.mp4,0
Shoplifting001_x264_31.mp4,0
Shoplifting005_x264_0.mp4,0
Shoplifting005_x264_1.mp4,0
Shoplifting005_x264_2.mp4,0
Shoplifting005_x264_3.mp4,0
Shoplifting005_x264_4.mp4,0
Shoplifting005_x264_5.mp4,0
Shoplifting005_x264_6.mp4,0
Shoplifting005_x264_7.mp4,0
Shoplifting005_x264_8.mp4,0
Shoplifting005_x264_9.mp4,0
Shoplifting005_x264_10.mp4,0
Shoplifting005_x264_11.mp4,0
Shoplifting005_x264_12.mp4,1
Shoplifting005_x264_13.mp4,1
Shoplifting005_x264_14.mp4,1
Shoplifting005_x264_15.mp4,0
Shoplifting005_x264_16.mp4,0
Shoplifting005_x264_17.mp4,0
Shoplifting005_x264_18.mp4,0
Shoplifting005_x264_19.mp4,0
Shoplifting005_x264_20.mp4,0
Shoplifting005_x264_21.mp4,0
Shoplifting005_x264_22.mp4,0
Shoplifting005_x264_23.mp4,0
Shoplifting005_x264_24.mp4,0
Shoplifting005_x264_25.mp4,0
Shoplifting005_x264_26.mp4,0
Shoplifting005_x264_27.mp4,0
Shoplifting005_x264_28.mp4,0
Shoplifting005_x264_29.mp4,0
Shoplifting005_x264_30.mp4,0
Shoplifting005_x264_31.mp4,0
Shoplifting006_x264_0.mp4,0
Shoplifting006_x264_1.mp4,0
Shoplifting006_x264_2.mp4,0
Shoplifting006_x264_3.mp4,0
Shoplifting006_x264_4.mp4,0
Shoplifting006_x264_5.mp4,0
Shoplifting006_x264_6.mp4,0
Shoplifting006_x264_7.mp4,0
Shoplifting006_x264_8.mp4,0
Shoplifting006_x264_9.mp4,0
Shoplifting006_x264_10.mp4,0
Shoplifting006_x264_11.mp4,0
Shoplifting006_x264_12.mp4,0
Shoplifting006_x264_13.mp4,0
Shoplifting006_x264_14.mp4,0
Shoplifting006_x264_15.mp4,0
Shoplifting006_x264_16.mp4,0
Shoplifting006_x264_17.mp4,0
Shoplifting006_x264_18.mp4,1
Shoplifting006_x264_19.mp4,1
Shoplifting006_x264_20.mp4,0
Shoplifting006_x264_21.mp4,0
Shoplifting006_x264_22.mp4,0
Shoplifting006_x264_23.mp4,0
Shoplifting006_x264_24.mp4,0
Shoplifting006_x264_25.mp4,0
Shoplifting006_x264_26.mp4,1
Shoplifting006_x264_27.mp4,1
Shoplifting006_x264_28.mp4,0
Shoplifting006_x264_29.mp4,0
Shoplifting006_x264_30.mp4,0
Shoplifting006_x264_31.mp4,1
Shoplifting007_x264_0.mp4,0
Shoplifting007_x264_1.mp4,0
Shoplifting007_x264_2.mp4,0
Shoplifting007_x264_3.mp4,1
Shoplifting007_x264_4.mp4,1
Shoplifting007_x264_5.mp4,1
Shoplifting007_x264_6.mp4,1
Shoplifting007_x264_7.mp4,0
Shoplifting007_x264_8.mp4,0
Shoplifting007_x264_9.mp4,0
Shoplifting007_x264_10.mp4,0
Shoplifting007_x264_11.mp4,0
Shoplifting007_x264_12.mp4,0
Shoplifting007_x264_13.mp4,0
Shoplifting007_x264_14.mp4,0
Shoplifting007_x264_15.mp4,0
Shoplifting007_x264_16.mp4,0
Shoplifting007_x264_17.mp4,0
Shoplifting007_x264_18.mp4,0
Shoplifting007_x264_19.mp4,0
Shoplifting007_x264_20.mp4,0
Shoplifting007_x264_21.mp4,0
Shoplifting007_x264_22.mp4,0
Shoplifting007_x264_23.mp4,0
Shoplifting007_x264_24.mp4,0
Shoplifting007_x264_25.mp4,0
Shoplifting007_x264_26.mp4,0
Shoplifting007_x264_27.mp4,0
Shoplifting007_x264_28.mp4,0
Shoplifting007_x264_29.mp4,0
Shoplifting007_x264_30.mp4,0
